Rule_Number,ICD_10_Code,Category,Code_Description
Rule 2B,S0180XA,Open wounds,"Unspecified open wound of other part of head, initial encounter"
Rule 2B,S0181XA,Open wounds,"Laceration without foreign body of other part of head, initial encounter"
Rule 2B,S0182XA,Open wounds,"Laceration with foreign body of other part of head, initial encounter"
Rule 2B,S0183XA,Open wounds,"Puncture wound without foreign body of other part of head, initial encounter"
Rule 2B,S0184XA,Open wounds,"Puncture wound with foreign body of other part of head, initial encounter"
Rule 2B,S0190XA,Open wounds,"Unspecified open wound of unspecified part of head, initial encounter"
Rule 2B,S0191XA,Open wounds,"Laceration without foreign body of unspecified part of head, initial encounter"
Rule 2B,S0192XA,Open wounds,"Laceration with foreign body of unspecified part of head, initial encounter"
Rule 2B,S0193XA,Open wounds,"Puncture wound without foreign body of unspecified part of head, initial encounter"
Rule 2B,S0194XA,Open wounds,"Puncture wound with foreign body of unspecified part of head, initial encounter"
Rule 2B,S0500XA,Open wounds,"Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye, initial encounter"
Rule 2B,S0501XA,Open wounds,"Injury of conjunctiva and corneal abrasion without foreign body, right eye, initial encounter"
Rule 2B,S0502XA,Open wounds,"Injury of conjunctiva and corneal abrasion without foreign body, left eye, initial encounter"
Rule 2B,S0510XA,Open wounds,"Contusion of eyeball and orbital tissues, unspecified eye, initial encounter"
Rule 2B,S0511XA,Open wounds,"Contusion of eyeball and orbital tissues, right eye, initial encounter"
Rule 2B,S0512XA,Open wounds,"Contusion of eyeball and orbital tissues, left eye, initial encounter"
Rule 2B,S0520XA,Open wounds,"Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified eye, initial encounter"
Rule 2B,S0521XA,Open wounds,"Ocular laceration and rupture with prolapse or loss of intraocular tissue, right eye, initial encounter"
Rule 2B,S0522XA,Open wounds,"Ocular laceration and rupture with prolapse or loss of intraocular tissue, left eye, initial encounter"
Rule 2B,S0530XA,Open wounds,"Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, initial encounter"
Rule 2B,S0531XA,Open wounds,"Ocular laceration without prolapse or loss of intraocular tissue, right eye, initial encounter"
Rule 2B,S0532XA,Open wounds,"Ocular laceration without prolapse or loss of intraocular tissue, left eye, initial encounter"
Rule 2B,S0540XA,Open wounds,"Penetrating wound of orbit with or without foreign body, unspecified eye, initial encounter"
Rule 2B,S0541XA,Open wounds,"Penetrating wound of orbit with or without foreign body, right eye, initial encounter"
Rule 2B,S0542XA,Open wounds,"Penetrating wound of orbit with or without foreign body, left eye, initial encounter"
Rule 2B,S0550XA,Open wounds,"Penetrating wound with foreign body of unspecified eyeball, initial encounter"
Rule 2B,S0551XA,Open wounds,"Penetrating wound with foreign body of right eyeball, initial encounter"
Rule 2B,S0552XA,Open wounds,"Penetrating wound with foreign body of left eyeball, initial encounter"
Rule 2B,S0560XA,Open wounds,"Penetrating wound without foreign body of unspecified eyeball, initial encounter"
Rule 2B,S0561XA,Open wounds,"Penetrating wound without foreign body of right eyeball, initial encounter"
Rule 2B,S0562XA,Open wounds,"Penetrating wound without foreign body of left eyeball, initial encounter"
Rule 2B,S06310A,Open wounds,"Contusion and laceration of right cerebrum without loss of consciousness, initial encounter"
Rule 2B,S06311A,Open wounds,"Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, initial encounter"
Rule 2B,S06312A,Open wounds,"Contusion and laceration of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter"
Rule 2B,S06313A,Open wounds,"Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter"
Rule 2B,S06314A,Open wounds,"Contusion and laceration of right cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter"
Rule 2B,S06315A,Open wounds,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter"
Rule 2B,S06316A,Open wounds,"Contusion and laceration of right cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter"
Rule 2B,S06317A,Open wounds,"Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter"
Rule 2B,S06318A,Open wounds,"Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter"
Rule 2B,S06319A,Open wounds,"Contusion and laceration of right cerebrum with loss of consciousness of unspecified duration, initial encounter"
Rule 2B,S06320A,Open wounds,"Contusion and laceration of left cerebrum without loss of consciousness, initial encounter"
Rule 2B,S06321A,Open wounds,"Contusion and laceration of left cerebrum with loss of consciousness of 30 minutes or less, initial encounter"
Rule 2B,S06322A,Open wounds,"Contusion and laceration of left cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter"
Rule 2B,S06323A,Open wounds,"Contusion and laceration of left cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter"
Rule 2B,S06324A,Open wounds,"Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, initial encounter"
Rule 2B,S06325A,Open wounds,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter"
Rule 2B,S06326A,Open wounds,"Contusion and laceration of left cerebrum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter"
Rule 2B,S06327A,Open wounds,"Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter"
Rule 2B,S06328A,Open wounds,"Contusion and laceration of left cerebrum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter"
Rule 2B,S06329A,Open wounds,"Contusion and laceration of left cerebrum with loss of consciousness of unspecified duration, initial encounter"
Rule 2B,S06330A,Open wounds,"Contusion and laceration of cerebrum, unspecified, without loss of consciousness, initial encounter"
Rule 2B,S06331A,Open wounds,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 30 minutes or less, initial encounter"
Rule 2B,S06332A,Open wounds,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 31 minutes to 59 minutes, initial encounter"
Rule 2B,S06333A,Open wounds,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter"
Rule 2B,S06334A,Open wounds,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter"
Rule 2B,S06335A,Open wounds,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter"
Rule 2B,S06336A,Open wounds,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter"
Rule 2B,S06337A,Open wounds,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter"
Rule 2B,S06338A,Open wounds,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter"
Rule 2B,S06339A,Open wounds,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of unspecified duration, initial encounter"
Rule 2B,S06370A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum without loss of consciousness, initial encounter"
Rule 2B,S06371A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 30 minutes or less, initial encounter"
Rule 2B,S06372A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 31 minutes to 59 minutes, initial encounter"
Rule 2B,S06373A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter"
Rule 2B,S06374A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of 6 hours to 24 hours, initial encounter"
Rule 2B,S06375A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter"
Rule 2B,S06376A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter"
Rule 2B,S06377A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter"
Rule 2B,S06378A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter"
Rule 2B,S06379A,Open wounds,"Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness of unspecified duration, initial encounter"
Rule 2B,S06380A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem without loss of consciousness, initial encounter"
Rule 2B,S06381A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less, initial encounter"
Rule 2B,S06382A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes, initial encounter"
Rule 2B,S06383A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter"
Rule 2B,S06384A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours, initial encounter"
Rule 2B,S06385A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours with return to pre-existing conscious level, initial encounter"
Rule 2B,S06386A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter"
Rule 2B,S06387A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter"
Rule 2B,S06388A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter"
Rule 2B,S06389A,Open wounds,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of unspecified duration, initial encounter"
Rule 2B,S0912XA,Open wounds,"Laceration of muscle and tendon of head, initial encounter"
Rule 2B,S100XXA,Open wounds,"Contusion of throat, initial encounter"
Rule 2B,S1010XA,Open wounds,"Unspecified superficial injuries of throat, initial encounter"
Rule 2B,S1011XA,Open wounds,"Abrasion of throat, initial encounter"
Rule 2B,S1015XA,Open wounds,"Superficial foreign body of throat, initial encounter"
Rule 2B,S1080XA,Open wounds,"Unspecified superficial injury of other specified part of neck, initial encounter"
Rule 2B,S1081XA,Open wounds,"Abrasion of other specified part of neck, initial encounter"
Rule 2B,S1083XA,Open wounds,"Contusion of other specified part of neck, initial encounter"
Rule 2B,S1085XA,Open wounds,"Superficial foreign body of other specified part of neck, initial encounter"
Rule 2B,S1090XA,Open wounds,"Unspecified superficial injury of unspecified part of neck, initial encounter"
Rule 2B,S1091XA,Open wounds,"Abrasion of unspecified part of neck, initial encounter"
Rule 2B,S1093XA,Open wounds,"Contusion of unspecified part of neck, initial encounter"
Rule 2B,S1095XA,Open wounds,"Superficial foreign body of unspecified part of neck, initial encounter"
Rule 2B,S11011A,Open wounds,"Laceration without foreign body of larynx, initial encounter"
Rule 2B,S11012A,Open wounds,"Laceration with foreign body of larynx, initial encounter"
Rule 2B,S11013A,Open wounds,"Puncture wound without foreign body of larynx, initial encounter"
Rule 2B,S11014A,Open wounds,"Puncture wound with foreign body of larynx, initial encounter"
Rule 2B,S11019A,Open wounds,"Unspecified open wound of larynx, initial encounter"
Rule 2B,S11021A,Open wounds,"Laceration without foreign body of trachea, initial encounter"
Rule 2B,S11022A,Open wounds,"Laceration with foreign body of trachea, initial encounter"
Rule 2B,S11023A,Open wounds,"Puncture wound without foreign body of trachea, initial encounter"
Rule 2B,S11024A,Open wounds,"Puncture wound with foreign body of trachea, initial encounter"
Rule 2B,S11029A,Open wounds,"Unspecified open wound of trachea, initial encounter"
Rule 2B,S11031A,Open wounds,"Laceration without foreign body of vocal cord, initial encounter"
Rule 2B,S11032A,Open wounds,"Laceration with foreign body of vocal cord, initial encounter"
Rule 2B,S11033A,Open wounds,"Puncture wound without foreign body of vocal cord, initial encounter"
Rule 2B,S11034A,Open wounds,"Puncture wound with foreign body of vocal cord, initial encounter"
Rule 2B,S11039A,Open wounds,"Unspecified open wound of vocal cord, initial encounter"
Rule 2B,S1110XA,Open wounds,"Unspecified open wound of thyroid gland, initial encounter"
Rule 2B,S1111XA,Open wounds,"Laceration without foreign body of thyroid gland, initial encounter"
Rule 2B,S1112XA,Open wounds,"Laceration with foreign body of thyroid gland, initial encounter"
Rule 2B,S1113XA,Open wounds,"Puncture wound without foreign body of thyroid gland, initial encounter"
Rule 2B,S1114XA,Open wounds,"Puncture wound with foreign body of thyroid gland, initial encounter"
Rule 2B,S1120XA,Open wounds,"Unspecified open wound of pharynx and cervical esophagus, initial encounter"
Rule 2B,S1121XA,Open wounds,"Laceration without foreign body of pharynx and cervical esophagus, initial encounter"
Rule 2B,S1122XA,Open wounds,"Laceration with foreign body of pharynx and cervical esophagus, initial encounter"
Rule 2B,S1123XA,Open wounds,"Puncture wound without foreign body of pharynx and cervical esophagus, initial encounter"
Rule 2B,S1124XA,Open wounds,"Puncture wound with foreign body of pharynx and cervical esophagus, initial encounter"
Rule 2B,S1180XA,Open wounds,"Unspecified open wound of other specified part of neck, initial encounter"
Rule 2B,S1181XA,Open wounds,"Laceration without foreign body of other specified part of neck, initial encounter"
Rule 2B,S1182XA,Open wounds,"Laceration with foreign body of other specified part of neck, initial encounter"
Rule 2B,S1183XA,Open wounds,"Puncture wound without foreign body of other specified part of neck, initial encounter"
Rule 2B,S1184XA,Open wounds,"Puncture wound with foreign body of other specified part of neck, initial encounter"
Rule 2B,S1189XA,Open wounds,"Other open wound of other specified part of neck, initial encounter"
Rule 2B,S1190XA,Open wounds,"Unspecified open wound of unspecified part of neck, initial encounter"
Rule 2B,S1191XA,Open wounds,"Laceration without foreign body of unspecified part of neck, initial encounter"
Rule 2B,S1192XA,Open wounds,"Laceration with foreign body of unspecified part of neck, initial encounter"
Rule 2B,S1193XA,Open wounds,"Puncture wound without foreign body of unspecified part of neck, initial encounter"
Rule 2B,S1194XA,Open wounds,"Puncture wound with foreign body of unspecified part of neck, initial encounter"
Rule 2B,S15011A,Open wounds,"Minor laceration of right carotid artery, initial encounter"
Rule 2B,S15012A,Open wounds,"Minor laceration of left carotid artery, initial encounter"
Rule 2B,S15019A,Open wounds,"Minor laceration of unspecified carotid artery, initial encounter"
Rule 2B,S15021A,Open wounds,"Major laceration of right carotid artery, initial encounter"
Rule 2B,S15022A,Open wounds,"Major laceration of left carotid artery, initial encounter"
Rule 2B,S15029A,Open wounds,"Major laceration of unspecified carotid artery, initial encounter"
Rule 2B,S15111A,Open wounds,"Minor laceration of right vertebral artery, initial encounter"
Rule 2B,S15112A,Open wounds,"Minor laceration of left vertebral artery, initial encounter"
Rule 2B,S15119A,Open wounds,"Minor laceration of unspecified vertebral artery, initial encounter"
Rule 2B,S15121A,Open wounds,"Major laceration of right vertebral artery, initial encounter"
Rule 2B,S15122A,Open wounds,"Major laceration of left vertebral artery, initial encounter"
Rule 2B,S15129A,Open wounds,"Major laceration of unspecified vertebral artery, initial encounter"
Rule 2B,S15211A,Open wounds,"Minor laceration of right external jugular vein, initial encounter"
Rule 2B,S15212A,Open wounds,"Minor laceration of left external jugular vein, initial encounter"
Rule 2B,S15219A,Open wounds,"Minor laceration of unspecified external jugular vein, initial encounter"
Rule 2B,S15221A,Open wounds,"Major laceration of right external jugular vein, initial encounter"
Rule 2B,S15222A,Open wounds,"Major laceration of left external jugular vein, initial encounter"
Rule 2B,S15229A,Open wounds,"Major laceration of unspecified external jugular vein, initial encounter"
Rule 2B,S15311A,Open wounds,"Minor laceration of right internal jugular vein, initial encounter"
Rule 2B,S15312A,Open wounds,"Minor laceration of left internal jugular vein, initial encounter"
Rule 2B,S15319A,Open wounds,"Minor laceration of unspecified internal jugular vein, initial encounter"
Rule 2B,S15321A,Open wounds,"Major laceration of right internal jugular vein, initial encounter"
Rule 2B,S15322A,Open wounds,"Major laceration of left internal jugular vein, initial encounter"
Rule 2B,S15329A,Open wounds,"Major laceration of unspecified internal jugular vein, initial encounter"
Rule 2B,S162XXA,Open wounds,"Laceration of muscle, fascia and tendon at neck level, initial encounter"
Rule 2B,S2000XA,Open wounds,"Contusion of breast, unspecified breast, initial encounter"
Rule 2B,S2001XA,Open wounds,"Contusion of right breast, initial encounter"
Rule 2B,S2002XA,Open wounds,"Contusion of left breast, initial encounter"
Rule 2B,S20101A,Open wounds,"Unspecified superficial injuries of breast, right breast, initial encounter"
Rule 2B,S20102A,Open wounds,"Unspecified superficial injuries of breast, left breast, initial encounter"
Rule 2B,S20109A,Open wounds,"Unspecified superficial injuries of breast, unspecified breast, initial encounter"
Rule 2B,S20111A,Open wounds,"Abrasion of breast, right breast, initial encounter"
Rule 2B,S20112A,Open wounds,"Abrasion of breast, left breast, initial encounter"
Rule 2B,S20119A,Open wounds,"Abrasion of breast, unspecified breast, initial encounter"
Rule 2B,S20151A,Open wounds,"Superficial foreign body of breast, right breast, initial encounter"
Rule 2B,S20152A,Open wounds,"Superficial foreign body of breast, left breast, initial encounter"
Rule 2B,S20159A,Open wounds,"Superficial foreign body of breast, unspecified breast, initial encounter"
Rule 2B,S2020XA,Open wounds,"Contusion of thorax, unspecified, initial encounter"
Rule 2B,S20211A,Open wounds,"Contusion of right front wall of thorax, initial encounter"
Rule 2B,S20212A,Open wounds,"Contusion of left front wall of thorax, initial encounter"
Rule 2B,S20219A,Open wounds,"Contusion of unspecified front wall of thorax, initial encounter"
Rule 2B,S20221A,Open wounds,"Contusion of right back wall of thorax, initial encounter"
Rule 2B,S20222A,Open wounds,"Contusion of left back wall of thorax, initial encounter"
Rule 2B,S20229A,Open wounds,"Contusion of unspecified back wall of thorax, initial encounter"
Rule 2B,S20301A,Open wounds,"Unspecified superficial injuries of right front wall of thorax, initial encounter"
Rule 2B,S20302A,Open wounds,"Unspecified superficial injuries of left front wall of thorax, initial encounter"
Rule 2B,S20309A,Open wounds,"Unspecified superficial injuries of unspecified front wall of thorax, initial encounter"
Rule 2B,S20311A,Open wounds,"Abrasion of right front wall of thorax, initial encounter"
Rule 2B,S20312A,Open wounds,"Abrasion of left front wall of thorax, initial encounter"
Rule 2B,S20319A,Open wounds,"Abrasion of unspecified front wall of thorax, initial encounter"
Rule 2B,S20351A,Open wounds,"Superficial foreign body of right front wall of thorax, initial encounter"
Rule 2B,S20352A,Open wounds,"Superficial foreign body of left front wall of thorax, initial encounter"
Rule 2B,S20359A,Open wounds,"Superficial foreign body of unspecified front wall of thorax, initial encounter"
Rule 2B,S20401A,Open wounds,"Unspecified superficial injuries of right back wall of thorax, initial encounter"
Rule 2B,S20402A,Open wounds,"Unspecified superficial injuries of left back wall of thorax, initial encounter"
Rule 2B,S20409A,Open wounds,"Unspecified superficial injuries of unspecified back wall of thorax, initial encounter"
Rule 2B,S20411A,Open wounds,"Abrasion of right back wall of thorax, initial encounter"
Rule 2B,S20412A,Open wounds,"Abrasion of left back wall of thorax, initial encounter"
Rule 2B,S20419A,Open wounds,"Abrasion of unspecified back wall of thorax, initial encounter"
Rule 2B,S20451A,Open wounds,"Superficial foreign body of right back wall of thorax, initial encounter"
Rule 2B,S20452A,Open wounds,"Superficial foreign body of left back wall of thorax, initial encounter"
Rule 2B,S20459A,Open wounds,"Superficial foreign body of unspecified back wall of thorax, initial encounter"
Rule 2B,S2090XA,Open wounds,"Unspecified superficial injury of unspecified parts of thorax, initial encounter"
Rule 2B,S2091XA,Open wounds,"Abrasion of unspecified parts of thorax, initial encounter"
Rule 2B,S2095XA,Open wounds,"Superficial foreign body of unspecified parts of thorax, initial encounter"
Rule 2B,S21001A,Open wounds,"Unspecified open wound of right breast, initial encounter"
Rule 2B,S21002A,Open wounds,"Unspecified open wound of left breast, initial encounter"
Rule 2B,S21009A,Open wounds,"Unspecified open wound of unspecified breast, initial encounter"
Rule 2B,S21011A,Open wounds,"Laceration without foreign body of right breast, initial encounter"
Rule 2B,S21012A,Open wounds,"Laceration without foreign body of left breast, initial encounter"
Rule 2B,S21019A,Open wounds,"Laceration without foreign body of unspecified breast, initial encounter"
Rule 2B,S21021A,Open wounds,"Laceration with foreign body of right breast, initial encounter"
Rule 2B,S21022A,Open wounds,"Laceration with foreign body of left breast, initial encounter"
Rule 2B,S21029A,Open wounds,"Laceration with foreign body of unspecified breast, initial encounter"
Rule 2B,S21031A,Open wounds,"Puncture wound without foreign body of right breast, initial encounter"
Rule 2B,S21032A,Open wounds,"Puncture wound without foreign body of left breast, initial encounter"
Rule 2B,S21039A,Open wounds,"Puncture wound without foreign body of unspecified breast, initial encounter"
Rule 2B,S21041A,Open wounds,"Puncture wound with foreign body of right breast, initial encounter"
Rule 2B,S21042A,Open wounds,"Puncture wound with foreign body of left breast, initial encounter"
Rule 2B,S21049A,Open wounds,"Puncture wound with foreign body of unspecified breast, initial encounter"
Rule 2B,S21101A,Open wounds,"Unspecified open wound of right front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21102A,Open wounds,"Unspecified open wound of left front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21109A,Open wounds,"Unspecified open wound of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21111A,Open wounds,"Laceration without foreign body of right front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21112A,Open wounds,"Laceration without foreign body of left front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21119A,Open wounds,"Laceration without foreign body of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21121A,Open wounds,"Laceration with foreign body of right front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21122A,Open wounds,"Laceration with foreign body of left front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21129A,Open wounds,"Laceration with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21131A,Open wounds,"Puncture wound without foreign body of right front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21132A,Open wounds,"Puncture wound without foreign body of left front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21139A,Open wounds,"Puncture wound without foreign body of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21141A,Open wounds,"Puncture wound with foreign body of right front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21142A,Open wounds,"Puncture wound with foreign body of left front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21149A,Open wounds,"Puncture wound with foreign body of unspecified front wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21201A,Open wounds,"Unspecified open wound of right back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21202A,Open wounds,"Unspecified open wound of left back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21209A,Open wounds,"Unspecified open wound of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21211A,Open wounds,"Laceration without foreign body of right back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21212A,Open wounds,"Laceration without foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21219A,Open wounds,"Laceration without foreign body of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21221A,Open wounds,"Laceration with foreign body of right back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21222A,Open wounds,"Laceration with foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21229A,Open wounds,"Laceration with foreign body of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21231A,Open wounds,"Puncture wound without foreign body of right back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21232A,Open wounds,"Puncture wound without foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21239A,Open wounds,"Puncture wound without foreign body of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21241A,Open wounds,"Puncture wound with foreign body of right back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21242A,Open wounds,"Puncture wound with foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21249A,Open wounds,"Puncture wound with foreign body of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter"
Rule 2B,S21301A,Open wounds,"Unspecified open wound of right front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21302A,Open wounds,"Unspecified open wound of left front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21309A,Open wounds,"Unspecified open wound of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21311A,Open wounds,"Laceration without foreign body of right front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21312A,Open wounds,"Laceration without foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21319A,Open wounds,"Laceration without foreign body of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21321A,Open wounds,"Laceration with foreign body of right front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21322A,Open wounds,"Laceration with foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21329A,Open wounds,"Laceration with foreign body of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21331A,Open wounds,"Puncture wound without foreign body of right front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21332A,Open wounds,"Puncture wound without foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21339A,Open wounds,"Puncture wound without foreign body of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21341A,Open wounds,"Puncture wound with foreign body of right front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21342A,Open wounds,"Puncture wound with foreign body of left front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21349A,Open wounds,"Puncture wound with foreign body of unspecified front wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21401A,Open wounds,"Unspecified open wound of right back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21402A,Open wounds,"Unspecified open wound of left back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21409A,Open wounds,"Unspecified open wound of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21411A,Open wounds,"Laceration without foreign body of right back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21412A,Open wounds,"Laceration without foreign body of left back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21419A,Open wounds,"Laceration without foreign body of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21421A,Open wounds,"Laceration with foreign body of right back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21422A,Open wounds,"Laceration with foreign body of left back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21429A,Open wounds,"Laceration with foreign body of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21431A,Open wounds,"Puncture wound without foreign body of right back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21432A,Open wounds,"Puncture wound without foreign body of left back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21439A,Open wounds,"Puncture wound without foreign body of unspecified back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21441A,Open wounds,"Puncture wound with foreign body of right back wall of thorax with penetration into thoracic cavity, initial encounter"
Rule 2B,S21442A,Open wounds,"Puncture wound with foreign body of left back wall of thorax with penetration into thoracic cavity, initial encounter"
